,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
37,BMW,i4 M50,80.7,670.0,Type 2 CCS,3.9,225,435,186,70800.0,76443.0
38,Mercedes,EQC 400 4MATIC,80.0,440.0,Type 2 CCS,5.1,180,370,216,66069.0,
39,Jeep,Avenger Electric 1st Edition,50.8,470.0,Type 2 CCS,9.0,150,295,172,39900.0,
40,Audi,e-tron GT RS,85.0,1000.0,Type 2 CCS,3.3,250,405,210,146050.0,151475.0
41,MG,ZS EV Long Range,68.3,410.0,Type 2 CCS,8.4,175,365,187,37990.0,37585.0
42,Hyundai,IONIQ 6 Long Range 2WD,74.0,1240.0,Type 2 CCS,7.4,185,475,156,54000.0,50895.0
43,Mercedes,EQS 580 4MATIC,107.8,900.0,Type 2 CCS,4.3,210,605,178,141705.0,176608.0
44,Lexus,RZ 450e,64.0,460.0,Type 2 CCS,5.6,160,310,206,60000.0,67495.0
45,Toyota,bZ4X FWD,64.0,500.0,Type 2 CCS,7.5,160,335,191,47490.0,52995.0
46,MG,MG4 Electric 51 kWh,50.8,340.0,Type 2 CCS,7.7,160,300,169,31990.0,30785.0
47,Fiat,500e Hatchback 42 kWh,37.3,390.0,Type 2 CCS,9.0,150,235,159,34990.0,34790.0
48,Renault,Zoe ZE50 R110,52.0,230.0,Type 2 CCS,11.4,135,315,165,36840.0,34790.0
49,Kia,EV6 Long Range 2WD,74.0,1070.0,Type 2 CCS,7.3,185,410,180,51990.0,57495.0
50,Volkswagen,ID.4 Pro,77.0,520.0,Type 2 CCS,10.4,160,410,188,,50340.0
51,MG,MG5 Electric Long Range,57.4,330.0,Type 2 CCS,7.7,185,335,171,38490.0,37585.0
52,Mini,Cooper SE ,28.9,260.0,Type 2 CCS,7.3,150,180,161,35700.0,38390.0
53,Nissan,Leaf ,39.0,230.0,Type 2 CHAdeMO,7.9,144,235,166,33400.0,35090.0
54,Skoda,Enyaq iV 60,58.0,440.0,Type 2 CCS,8.7,160,325,178,,48690.0
55,Hyundai,IONIQ 5 Long Range 2WD,74.0,1020.0,Type 2 CCS,7.3,185,390,190,47900.0,50395.0
56,Volkswagen,ID.4 Pure,52.0,360.0,Type 2 CCS,10.9,160,285,182,,43690.0
57,BMW,iX M60,105.2,650.0,Type 2 CCS,3.8,250,485,217,136100.0,136655.0
